X,Y,Type
-416.219,-164.794,muon
-416.219,-164.794,total
-109.915,-0.902041,muon
-109.915,-0.902041,total
990.671,-547.339,muon
990.671,-547.339,total
48.1731,-7.47499,muon
48.1731,-7.47499,total
133.164,34.1663,muon
133.164,34.1663,total
-169.996,19.2428,muon
-169.996,19.2428,total
69.1978,-45.1415,muon
69.1978,-45.1415,total
-163.205,7.46303,muon
-163.205,7.46303,total
4.49818,71.5738,muon
4.49818,71.5738,total
-55.1907,-156.523,electron
-55.1907,-156.523,total
-2465.79,1485.12,muon
-2465.79,1485.12,total
188.58,-50.4794,muon
188.58,-50.4794,total
-525.483,-910.048,muon
-525.483,-910.048,total
-53.0454,62.1033,muon
-53.0454,62.1033,total
-277.146,74.2989,muon
-277.146,74.2989,total
-633.268,167.258,muon
-633.268,167.258,total
241.647,-76.2702,muon
241.647,-76.2702,total
739.837,-116.135,muon
739.837,-116.135,total
-388.552,-18.8757,muon
-388.552,-18.8757,total
463.633,49.2493,electron
463.633,49.2493,total
1112.32,-337.916,muon
1112.32,-337.916,total
-287.293,217.456,muon
-287.293,217.456,total
942.484,-1465.4,muon
942.484,-1465.4,total
-47.0309,-604.274,muon
-47.0309,-604.274,total
783.949,51.872,muon
783.949,51.872,total
-190.069,-12.7296,muon
-190.069,-12.7296,total
70.8313,-31.4392,muon
70.8313,-31.4392,total
767.495,61.8054,muon
767.495,61.8054,total
-926.016,50.9071,muon
-926.016,50.9071,total
-26.5335,69.2569,muon
-26.5335,69.2569,total
-7.9835,191.178,muon
-7.9835,191.178,total
-427.691,-219.878,muon
-427.691,-219.878,total
444.398,-80.6033,muon
444.398,-80.6033,total
1726.36,423.595,muon
1726.36,423.595,total
-40.7565,7.98121,muon
-40.7565,7.98121,total
56.7827,9.26289,muon
56.7827,9.26289,total
-843.892,391.862,muon
-843.892,391.862,total
-241.85,-8.10135,muon
-241.85,-8.10135,total
707.193,-158.948,muon
707.193,-158.948,total
-471.138,588.219,muon
-471.138,588.219,total
67.2991,-15.5759,muon
67.2991,-15.5759,total
-83.8675,-349.332,muon
-83.8675,-349.332,total
374.703,29.8461,muon
374.703,29.8461,total
-1532.03,271.117,muon
-1532.03,271.117,total
-142.776,-53.6667,muon
-142.776,-53.6667,total
-564.862,-129.906,muon
-564.862,-129.906,total
56.5714,-129.869,muon
56.5714,-129.869,total
265.23,26.0801,muon
265.23,26.0801,total
-27.719,32.2585,muon
-27.719,32.2585,total
1028.73,-464.674,muon
1028.73,-464.674,total
-97.1561,587.058,muon
-97.1561,587.058,total
-164.937,-1.04323,muon
-164.937,-1.04323,total
75.5812,-12.4538,muon
75.5812,-12.4538,total
-6.80352,-61.9644,muon
-6.80352,-61.9644,total
-816.08,919.41,muon
-816.08,919.41,total
617.902,-95.3787,muon
617.902,-95.3787,total
-72.8101,52.5476,muon
-72.8101,52.5476,total
-32.6516,38.6617,muon
-32.6516,38.6617,total
-2257.99,69.3153,muon
-2257.99,69.3153,total
314.706,-168.563,muon
314.706,-168.563,total
77.869,20.7231,muon
77.869,20.7231,total
146.243,113.934,muon
146.243,113.934,total
-964.015,-291.285,muon
-964.015,-291.285,total
11.9952,197.978,muon
11.9952,197.978,total
-1820.86,1221.67,muon
-1820.86,1221.67,total
289.208,121.484,muon
289.208,121.484,total
44.7528,-239.867,muon
44.7528,-239.867,total
40.9048,4.07829,muon
